iter	Passed	Remaining
1235	50545	97738
1236	50581	97687
1237	50610	97624
1238	50641	97563
1239	50673	97505
1240	50709	97454
1241	50750	97414
1242	50785	97363
1243	50814	97298
1244	50860	97268
1245	50899	97224
1246	50932	97167
1247	50962	97106
1248	50999	97058
1249	51031	97000
1250	51058	96933
1251	51097	96889
1252	51140	96853
1253	51174	96799
1254	51206	96742
1255	51253	96712
1256	51281	96648
1257	51318	96599
1258	51349	96540
1259	51389	96497
1260	51423	96445
1261	51462	96401
1262	51497	96348
1263	51533	96299
1264	51569	96250
1265	51621	96229
1266	51669	96201
1267	51707	96156
1268	51752	96123
1269	51798	96092
1270	51838	96049
1271	51880	96010
1272	51921	95970
1273	51957	95921
1274	51989	95864
1275	52018	95802
1276	52056	95756
1277	52098	95718
1278	52137	95674
1279	52171	95619
1280	52218	95590
1281	52254	95541
1282	52298	95506
1283	52339	95466
1284	52380	95426
1285	52429	95400
1286	52467	95354
1287	52514	95324
1288	52544	95264
1289	52582	95219
1290	52630	95190
1291	52669	95147
1292	52715	95116
1293	52760	95083
1294	52795	95032
1295	52826	94973
1296	52878	94952
1297	52919	94913
1298	52953	94859
1299	52980	94793
1300	53015	94743
1301	53053	94698
1302	53094	94658
1303	53139	94623
1304	53174	94572
1305	53207	94518
1306	53238	94459
1307	53281	94423
1308	53316	94372
1309	53349	94319
1310	53379	94258
1311	53425	94227
1312	53462	94179
1313	53497	94129
1314	53532	94078
1315	53566	94026
1316	53624	94015
1317	53680	94001
1318	53714	93950
1319	53755	93908
1320	53792	93862
1321	53821	93800
1322	53863	93762
1323	53905	93724
1324	53935	93665
1325	53969	93611
1326	53999	93552
1327	54042	93515
1328	54081	93473
1329	54120	93428
1330	54147	93365
1331	54185	93319
1332	54242	93306
1333	54282	93264
1334	54318	93216
1335	54354	93167
1336	54386	93111
1337	54427	93071
1338	54467	93029
1339	54542	93047
1340	54752	93295
1341	54805	93275
1342	54847	93236
1343	54889	93198
1344	54916	93133
1345	54958	93095
1346	54998	93052
1347	55041	93015
1348	55086	92981
1349	55112	92915
1350	55143	92857
1351	55175	92801
1352	55220	92768
1353	55250	92710
1354	55284	92656
1355	55312	92594
1356	55357	92561
1357	55386	92500
1358	55431	92467
1359	55466	92417
1360	55508	92377
1361	55556	92348
1362	55595	92306
1363	55630	92255
1364	55666	92206
1365	55692	92140
1366	55729	92094
1367	55770	92054
1368	55802	91998
1369	55854	91977
1370	55887	91923
1371	55917	91864
1372	55956	91821
1373	55995	91777
1374	56041	91744
1375	56089	91716
1376	56127	91670
1377	56159	91616
1378	56199	91573
1379	56242	91536
1380	56285	91499
1381	56321	91450
1382	56373	91428
1383	56405	91373
1384	56431	91309
1385	56459	91247
1386	56499	91205
1387	56539	91164
1388	56579	91121
1389	56605	91057
1390	56655	91031
1391	56692	90984
1392	56724	90930
1393	56760	90881
1394	56799	90837
1395	56834	90789
1396	56873	90745
1397	56911	90700
1398	56945	90649
1399	56977	90594
1400	57009	90539
1401	57041	90484
1402	57081	90443
1403	57117	90395
